Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
4 Jul,ODDIK,Meta BR,2,0,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89890/oddik-vs-meta-br
3 Jul,Outsiders,Movistar Riders,1,2,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89889/outsiders-vs-movistar-riders
3 Jul,ARCTIC,Stars Horizon,2,0,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89888/arctic-vs-stars-horizon
3 Jul,Nigma Galaxy,FURIA fe,2,0,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89887/nigma-galaxy-vs-furia-fe
3 Jul,Sangal,EC Kyiv,0,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89886/sangal-vs-ec-kyiv
3 Jul,Movistar Riders,Sprout,2,0,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89885/movistar-riders-vs-sprout
3 Jul,FURIA fe,NAVI Javelins,2,0,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89884/furia-fe-vs-navi-javelins
3 Jul,B8,BLUEJAYS,2,0,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89883/b8-vs-bluejays
3 Jul,Outsiders,Rare Atom,2,0,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89882/outsiders-vs-rare-atom
3 Jul,Nigma Galaxy,MIBR fe,2,0,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89881/nigma-galaxy-vs-mibr-fe
3 Jul,Redragon,Meta BR,1,2,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89880/redragon-vs-meta-br
2 Jul,HEET,Bad News Eagles,2,0,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89879/heet-vs-bad-news-eagles
2 Jul,ODDIK,Rehl,2,0,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89878/oddik-vs-rehl
2 Jul,CLG Red,MIBR fe,0,2,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89877/clg-red-vs-mibr-fe
2 Jul,Sprout,00NATION,2,0,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89876/sprout-vs-00nation
2 Jul,EC Kyiv,BLUEJAYS,2,1,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89875/ec-kyiv-vs-bluejays
2 Jul,Bad News Eagles,SINNERS,2,0,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89874/bad-news-eagles-vs-sinners
2 Jul,BIG EQUIPA,NAVI Javelins,0,2,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89873/big-equipa-vs-navi-javelins
2 Jul,MIBR,Rare Atom,0,2,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89872/mibr-vs-rare-atom
2 Jul,ex-MAD Lions,HEET,1,2,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89871/ex-mad-lions-vs-heet
2 Jul,Sangal,B8,2,1,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89870/sangal-vs-b8
2 Jul,MIBR fe,GODSENT fe,2,1,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89869/mibr-fe-vs-godsent-fe
2 Jul,00NATION,FURIA,2,0,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89868/00nation-vs-furia
2 Jul,The Union,Stars Horizon,1,2,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89867/the-union-vs-stars-horizon
2 Jul,Rare Atom,HUMMER,2,1,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89866/rare-atom-vs-hummer
2 Jul,Mindfreak,NAVI Javelins,0,2,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89865/mindfreak-vs-navi-javelins
2 Jul,BIG Academy,Cryptova,2,0,Y-Games Pro Series 2022,https://www.hltv.org//stats/matches/89864/big-academy-vs-cryptova
2 Jul,Iron Branch,B8,0,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89863/iron-branch-vs-b8
1 Jul,ARCTIC,B4,2,0,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89862/arctic-vs-b4
1 Jul,AGO,PACT,2,1,Y-Games Pro Series 2022,https://www.hltv.org//stats/matches/89861/ago-vs-pact
1 Jul,MASONIC,Sangal,1,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89860/masonic-vs-sangal
1 Jul,Complexity,SINNERS,1,2,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89859/complexity-vs-sinners
1 Jul,Outsiders,Sprout,16,8,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140160/outsiders-vs-sprout
1 Jul,FURIA fe,CLG Red,16,8,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140158/clg-red-vs-furia-fe
1 Jul,Nigma Galaxy,BIG EQUIPA,16,6,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140152/nigma-galaxy-vs-big-equipa
1 Jul,MIBR,Movistar Riders,3,16,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140151/movistar-riders-vs-mibr
1 Jul,UNGENTIUM,FLET,2,0,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89854/ungentium-vs-flet
1 Jul,BLUEJAYS,Tricked,2,1,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89853/bluejays-vs-tricked
1 Jul,FURIA,Sprout,10,16,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140145/sprout-vs-furia
1 Jul,Eternal Fire,ex-MAD Lions,1,2,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89851/eternal-fire-vs-ex-mad-lions
1 Jul,GODSENT fe,CLG Red,11,16,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140143/clg-red-vs-godsent-fe
1 Jul,00NATION,Outsiders,11,16,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140140/outsiders-vs-00nation
1 Jul,FURIA fe,MIBR fe,16,11,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140139/furia-fe-vs-mibr-fe
1 Jul,Into the Breach,EC Kyiv,1,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89847/into-the-breach-vs-ec-kyiv
1 Jul,NAVI Javelins,BIG EQUIPA,13,16,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140134/big-equipa-vs-navi-javelins
1 Jul,HUMMER,Movistar Riders,0,16,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140133/movistar-riders-vs-hummer
1 Jul,MIBR,Rare Atom,16,12,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140131/mibr-vs-rare-atom
1 Jul,Nigma Galaxy,Mindfreak,16,6,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/mapstatsid/140130/nigma-galaxy-vs-mindfreak
1 Jul,Luxe,Detonate,2,1,ESEA Advanced Season 41 North America,https://www.hltv.org//stats/matches/89842/luxe-vs-detonate
1 Jul,Victorum,Northern Forces,0,2,ESEA Advanced Season 41 North America,https://www.hltv.org//stats/matches/89841/victorum-vs-northern-forces
30 Jun,BIG,FaZe,2,1,Roobet Cup 2022,https://www.hltv.org//stats/matches/89840/big-vs-faze
30 Jun,HEET,MASONIC,2,1,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89839/heet-vs-masonic
30 Jun,forZe,ECLOT,2,1,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89838/forze-vs-eclot
30 Jun,EC Kyiv,BLUEJAYS,0,2,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89837/ec-kyiv-vs-bluejays
30 Jun,Apeks,SKADE,2,0,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89836/apeks-vs-skade
30 Jun,Bad News Eagles,Finest,2,1,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89835/bad-news-eagles-vs-finest
30 Jun,OneTap,KTRL,2,0,Superbattles 2022 Finals,https://www.hltv.org//stats/matches/89834/onetap-vs-ktrl
29 Jun,fnatic,ex-MAD Lions,1,2,REPUBLEAGUE Season 3,https://www.hltv.org//stats/matches/89833/fnatic-vs-ex-mad-lions
29 Jun,FaZe,Astralis,2,1,Roobet Cup 2022,https://www.hltv.org//stats/matches/89832/faze-vs-astralis
29 Jun,Nexus,KTRL,1,2,Superbattles 2022 Finals,https://www.hltv.org//stats/matches/89831/nexus-vs-ktrl
29 Jun,Nemiga,SKADE,0,2,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89830/nemiga-vs-skade
29 Jun,Finest,Enterprise,2,0,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89829/finest-vs-enterprise
29 Jun,Bad News Eagles,ECSTATIC,2,0,REPUBLEAGUE Season 3,https://www.hltv.org//stats/matches/89828/bad-news-eagles-vs-ecstatic
29 Jun,BIG,Cloud9,2,0,Roobet Cup 2022,https://www.hltv.org//stats/matches/89827/big-vs-cloud9
29 Jun,UNGENTIUM,EC Kyiv,0,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89826/ungentium-vs-ec-kyiv
29 Jun,OneTap,KTRL,2,1,Superbattles 2022 Finals,https://www.hltv.org//stats/matches/89825/onetap-vs-ktrl
29 Jun,Apeks,ex-MAD Lions,1,2,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89824/apeks-vs-ex-mad-lions
29 Jun,PACT,EC Kyiv,0,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89823/pact-vs-ec-kyiv
29 Jun,MASONIC,UNGENTIUM,2,1,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89822/masonic-vs-ungentium
29 Jun,Philadelphia Liberty,Northern Forces,0,2,ESEA Advanced Season 41 North America,https://www.hltv.org//stats/matches/89821/philadelphia-liberty-vs-northern-forces
29 Jun,Detonate,Snakes Den,2,0,ESEA Advanced Season 41 North America,https://www.hltv.org//stats/matches/89820/detonate-vs-snakes-den
29 Jun,allStars,Nexus,0,2,Superbattles 2022 Finals,https://www.hltv.org//stats/matches/mapstatsid/140062/nexus-vs-allstars
29 Jun,Into the Breach,UNGENTIUM,0,2,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89818/into-the-breach-vs-ungentium
28 Jun,SKADE,MASONIC,1,2,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89817/skade-vs-masonic
28 Jun,forZe,Astralis,0,2,Roobet Cup 2022,https://www.hltv.org//stats/matches/89816/forze-vs-astralis
28 Jun,Nexus,KTRL,0,2,Superbattles 2022 Finals,https://www.hltv.org//stats/matches/89815/nexus-vs-ktrl
28 Jun,ECSTATIC,ex-MAD Lions,1,2,REPUBLEAGUE Season 3,https://www.hltv.org//stats/matches/89814/ecstatic-vs-ex-mad-lions
28 Jun,BIG Academy,FLET,1,2,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89813/big-academy-vs-flet
28 Jun,VP.Prodigy,Apeks,0,2,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89812/vpprodigy-vs-apeks
28 Jun,ENCE,FaZe,0,2,Roobet Cup 2022,https://www.hltv.org//stats/matches/89811/ence-vs-faze
28 Jun,OneTap,allStars,2,1,Superbattles 2022 Finals,https://www.hltv.org//stats/matches/89810/onetap-vs-allstars
28 Jun,fnatic,Bad News Eagles,2,0,REPUBLEAGUE Season 3,https://www.hltv.org//stats/matches/89809/fnatic-vs-bad-news-eagles
28 Jun,ECSTATIC,SINNERS,0,2,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89808/ecstatic-vs-sinners
28 Jun,EC Kyiv,UNGENTIUM,1,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89807/ec-kyiv-vs-ungentium
28 Jun,PACT,MASONIC,0,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89806/pact-vs-masonic
28 Jun,Luxe,Davenport University,1,2,ESEA Advanced Season 41 North America,https://www.hltv.org//stats/matches/89805/luxe-vs-davenport-university
28 Jun,ONET4P,Victorum,2,0,ESEA Advanced Season 41 North America,https://www.hltv.org//stats/matches/89804/onet4p-vs-victorum
27 Jun,BLUEJAYS,BIG Academy,2,1,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89803/bluejays-vs-big-academy
27 Jun,Cloud9,9z,2,1,Roobet Cup 2022,https://www.hltv.org//stats/matches/89802/cloud9-vs-9z
28 Jun,eSuba,ECLOT,0,2,Y-Games Pro Series 2022,https://www.hltv.org//stats/matches/89801/esuba-vs-eclot
27 Jun,Bad News Eagles,forZe,2,1,REPUBLEAGUE Season 3,https://www.hltv.org//stats/matches/89800/bad-news-eagles-vs-forze
27 Jun,Into the Breach,EC Kyiv,0,2,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89799/into-the-breach-vs-ec-kyiv
27 Jun,SKADE,AVANGAR,2,0,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89798/skade-vs-avangar
27 Jun,NAVI Junior,ONYX,0,2,Y-Games Pro Series 2022,https://www.hltv.org//stats/matches/89797/navi-junior-vs-onyx
27 Jun,UNGENTIUM,B8,2,1,ESEA Advanced Season 41 Europe,https://www.hltv.org//stats/matches/89796/ungentium-vs-b8
27 Jun,BIG,Eternal Fire,2,1,Roobet Cup 2022,https://www.hltv.org//stats/matches/89795/big-vs-eternal-fire
27 Jun,Illuminar,Sangal,1,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89794/illuminar-vs-sangal
27 Jun,ex-MAD Lions,MOUZ NXT,2,0,REPUBLEAGUE Season 3,https://www.hltv.org//stats/matches/89793/ex-mad-lions-vs-mouz-nxt
